region_code,region,tipo_de_captación,periodo,total
00,Total Nacional,Total,2022,3.405.171
00,Total Nacional,Total,2020,3.238.172
00,Total Nacional,Total,2018,3.178.653
00,Total Nacional,Total,2016,3.553.637
00,Total Nacional,Total,2014,3.599.437
00,Total Nacional,Total,2013,3.735.690
00,Total Nacional,Total,2012,3.562.119
00,Total Nacional,Total,2011,3.391.477
00,Total Nacional,Total,2010,3.635.655
00,Total Nacional,Total,2009,3.739.127
00,Total Nacional,Total,2008,3.757.106
00,Total Nacional,Total,2007,3.762.619
00,Total Nacional,Total,2006,3.840.220
00,Total Nacional,Total,2005,4.066.341
00,Total Nacional,Total,2004,4.193.613
00,Total Nacional,Total,2003,4.214.160
00,Total Nacional,Total,2002,4.105.632
00,Total Nacional,Total,2001,4.183.657
00,Total Nacional,Total,2000,4.013.562
00,Total Nacional,Aguas superficiales,2022,2.260.877
00,Total Nacional,Aguas superficiales,2020,2.153.165
00,Total Nacional,Aguas superficiales,2018,2.040.822
00,Total Nacional,Aguas superficiales,2016,2.332.169
00,Total Nacional,Aguas superficiales,2014,2.436.040
00,Total Nacional,Aguas superficiales,2013,2.479.923
00,Total Nacional,Aguas superficiales,2012,2.402.343
00,Total Nacional,Aguas superficiales,2011,2.258.931
00,Total Nacional,Aguas superficiales,2010,2.463.835
00,Total Nacional,Aguas superficiales,2009,2.517.139
00,Total Nacional,Aguas superficiales,2008,2.443.677
00,Total Nacional,Aguas superficiales,2007,2.406.481
00,Total Nacional,Aguas superficiales,2006,2.511.679
00,Total Nacional,Aguas superficiales,2005,2.811.633
00,Total Nacional,Aguas superficiales,2004,2.978.828
00,Total Nacional,Aguas superficiales,2003,2.906.338
00,Total Nacional,Aguas superficiales,2002,2.980.542
00,Total Nacional,Aguas superficiales,2001,3.094.641
00,Total Nacional,Aguas superficiales,2000,2.999.577
00,Total Nacional,Aguas subterráneas,2022,827.843
00,Total Nacional,Aguas subterráneas,2020,892.819
00,Total Nacional,Aguas subterráneas,2018,983.895
00,Total Nacional,Aguas subterráneas,2016,1.050.738
00,Total Nacional,Aguas subterráneas,2014,1.003.828
00,Total Nacional,Aguas subterráneas,2013,1.124.635
00,Total Nacional,Aguas subterráneas,2012,1.057.111
00,Total Nacional,Aguas subterráneas,2011,1.004.668
00,Total Nacional,Aguas subterráneas,2010,1.065.852
00,Total Nacional,Aguas subterráneas,2009,1.118.600
00,Total Nacional,Aguas subterráneas,2008,1.212.979
00,Total Nacional,Aguas subterráneas,2007,1.226.742
00,Total Nacional,Aguas subterráneas,2006,1.220.691
00,Total Nacional,Aguas subterráneas,2005,1.147.594
00,Total Nacional,Aguas subterráneas,2004,1.094.961
00,Total Nacional,Aguas subterráneas,2003,1.179.605
00,Total Nacional,Aguas subterráneas,2002,996.163
00,Total Nacional,Aguas subterráneas,2001,970.566
00,Total Nacional,Aguas subterráneas,2000,928.413
00,Total Nacional,Desalación,2022,316.451
00,Total Nacional,Desalación,2020,192.188
00,Total Nacional,Desalación,2018,153.936
00,Total Nacional,Desalación,2016,170.730
00,Total Nacional,Desalación,2014,159.569
00,Total Nacional,Desalación,2013,131.132
00,Total Nacional,Desalación,2012,102.665
00,Total Nacional,Desalación,2011,127.878
00,Total Nacional,Desalación,2010,105.968
00,Total Nacional,Desalación,2009,103.388
00,Total Nacional,Desalación,2008,100.450
00,Total Nacional,Desalación,2007,129.396
00,Total Nacional,Desalación,2006,107.850
00,Total Nacional,Desalación,2005,107.114
00,Total Nacional,Desalación,2004,119.824
00,Total Nacional,Desalación,2003,128.217
00,Total Nacional,Desalación,2002,128.927
00,Total Nacional,Desalación,2001,118.450
00,Total Nacional,Desalación,2000,85.572
01,Andalucía,Total,2022,457.514
01,Andalucía,Total,2020,590.918
01,Andalucía,Total,2018,600.535
01,Andalucía,Total,2016,612.671
01,Andalucía,Total,2014,583.899
01,Andalucía,Total,2013,640.220
01,Andalucía,Total,2012,610.179
01,Andalucía,Total,2011,562.323
01,Andalucía,Total,2010,573.925
01,Andalucía,Total,2009,625.878
01,Andalucía,Total,2008,550.577
01,Andalucía,Total,2007,586.986
01,Andalucía,Total,2006,678.959
01,Andalucía,Total,2005,779.698
01,Andalucía,Total,2004,772.806
01,Andalucía,Total,2003,676.710
01,Andalucía,Total,2002,708.812
01,Andalucía,Total,2001,706.776
01,Andalucía,Total,2000,628.876
01,Andalucía,Aguas superficiales,2022,261.335
01,Andalucía,Aguas superficiales,2020,361.369
01,Andalucía,Aguas superficiales,2018,364.271
01,Andalucía,Aguas superficiales,2016,336.107
01,Andalucía,Aguas superficiales,2014,356.840
01,Andalucía,Aguas superficiales,2013,331.069
01,Andalucía,Aguas superficiales,2012,337.180
01,Andalucía,Aguas superficiales,2011,301.187
01,Andalucía,Aguas superficiales,2010,344.652
01,Andalucía,Aguas superficiales,2009,392.699
01,Andalucía,Aguas superficiales,2008,332.034
01,Andalucía,Aguas superficiales,2007,367.094
01,Andalucía,Aguas superficiales,2006,475.485
01,Andalucía,Aguas superficiales,2005,497.294
01,Andalucía,Aguas superficiales,2004,528.170
01,Andalucía,Aguas superficiales,2003,503.639
01,Andalucía,Aguas superficiales,2002,497.636
01,Andalucía,Aguas superficiales,2001,525.574
01,Andalucía,Aguas superficiales,2000,482.584
01,Andalucía,Aguas subterráneas,2022,178.375
01,Andalucía,Aguas subterráneas,2020,217.914
01,Andalucía,Aguas subterráneas,2018,220.990
01,Andalucía,Aguas subterráneas,2016,262.459
01,Andalucía,Aguas subterráneas,2014,213.478
01,Andalucía,Aguas subterráneas,2013,302.560
01,Andalucía,Aguas subterráneas,2012,250.593
01,Andalucía,Aguas subterráneas,2011,249.698
01,Andalucía,Aguas subterráneas,2010,227.524
01,Andalucía,Aguas subterráneas,2009,216.448
01,Andalucía,Aguas subterráneas,2008,212.270
01,Andalucía,Aguas subterráneas,2007,205.188
01,Andalucía,Aguas subterráneas,2006,196.448
01,Andalucía,Aguas subterráneas,2005,282.404
01,Andalucía,Aguas subterráneas,2004,242.861
01,Andalucía,Aguas subterráneas,2003,169.926
01,Andalucía,Aguas subterráneas,2002,208.233
01,Andalucía,Aguas subterráneas,2001,178.615
01,Andalucía,Aguas subterráneas,2000,144.169
01,Andalucía,Desalación,2022,17.805
01,Andalucía,Desalación,2020,11.635
01,Andalucía,Desalación,2018,15.274
01,Andalucía,Desalación,2016,14.105
01,Andalucía,Desalación,2014,13.581
01,Andalucía,Desalación,2013,6.591
01,Andalucía,Desalación,2012,22.406
01,Andalucía,Desalación,2011,11.438
01,Andalucía,Desalación,2010,1.749
01,Andalucía,Desalación,2009,16.731
01,Andalucía,Desalación,2008,6.273
01,Andalucía,Desalación,2007,14.704
01,Andalucía,Desalación,2006,7.026
01,Andalucía,Desalación,2005,0
01,Andalucía,Desalación,2004,1.775
01,Andalucía,Desalación,2003,3.145
01,Andalucía,Desalación,2002,2.943
01,Andalucía,Desalación,2001,2.587
01,Andalucía,Desalación,2000,2.123
02,Aragón,Total,2022,160.424
02,Aragón,Total,2020,128.134
02,Aragón,Total,2018,108.880
02,Aragón,Total,2016,248.544
02,Aragón,Total,2014,241.843
02,Aragón,Total,2013,180.839
02,Aragón,Total,2012,233.520
02,Aragón,Total,2011,93.312
02,Aragón,Total,2010,94.799
02,Aragón,Total,2009,103.556
02,Aragón,Total,2008,85.417
02,Aragón,Total,2007,75.108
02,Aragón,Total,2006,70.171
02,Aragón,Total,2005,126.266
02,Aragón,Total,2004,108.115
02,Aragón,Total,2003,105.481
02,Aragón,Total,2002,76.605
02,Aragón,Total,2001,65.260
02,Aragón,Total,2000,60.601
02,Aragón,Aguas superficiales,2022,156.554
02,Aragón,Aguas superficiales,2020,122.278
02,Aragón,Aguas superficiales,2018,99.586
02,Aragón,Aguas superficiales,2016,238.403
02,Aragón,Aguas superficiales,2014,227.166
02,Aragón,Aguas superficiales,2013,178.137
02,Aragón,Aguas superficiales,2012,227.047
02,Aragón,Aguas superficiales,2011,86.126
02,Aragón,Aguas superficiales,2010,86.070
02,Aragón,Aguas superficiales,2009,94.694
02,Aragón,Aguas superficiales,2008,76.357
02,Aragón,Aguas superficiales,2007,63.773
02,Aragón,Aguas superficiales,2006,64.740
02,Aragón,Aguas superficiales,2005,117.217
02,Aragón,Aguas superficiales,2004,95.299
02,Aragón,Aguas superficiales,2003,92.345
02,Aragón,Aguas superficiales,2002,65.707
02,Aragón,Aguas superficiales,2001,54.551
02,Aragón,Aguas superficiales,2000,51.142
02,Aragón,Aguas subterráneas,2022,3.870
02,Aragón,Aguas subterráneas,2020,5.856
02,Aragón,Aguas subterráneas,2018,9.294
02,Aragón,Aguas subterráneas,2016,10.141
02,Aragón,Aguas subterráneas,2014,14.677
02,Aragón,Aguas subterráneas,2013,2.702
02,Aragón,Aguas subterráneas,2012,6.473
02,Aragón,Aguas subterráneas,2011,7.186
02,Aragón,Aguas subterráneas,2010,8.729
02,Aragón,Aguas subterráneas,2009,8.862
02,Aragón,Aguas subterráneas,2008,9.060
02,Aragón,Aguas subterráneas,2007,11.335
02,Aragón,Aguas subterráneas,2006,5.431
02,Aragón,Aguas subterráneas,2005,9.049
02,Aragón,Aguas subterráneas,2004,12.816
02,Aragón,Aguas subterráneas,2003,13.136
02,Aragón,Aguas subterráneas,2002,10.898
02,Aragón,Aguas subterráneas,2001,10.709
02,Aragón,Aguas subterráneas,2000,9.459
02,Aragón,Desalación,2022,0
02,Aragón,Desalación,2020,0
02,Aragón,Desalación,2018,0
02,Aragón,Desalación,2016,0
02,Aragón,Desalación,2014,0
02,Aragón,Desalación,2013,0
02,Aragón,Desalación,2012,0
02,Aragón,Desalación,2011,0
02,Aragón,Desalación,2010,0
02,Aragón,Desalación,2009,0
02,Aragón,Desalación,2008,0
02,Aragón,Desalación,2007,0
02,Aragón,Desalación,2006,0
02,Aragón,Desalación,2005,0
02,Aragón,Desalación,2004,0
02,Aragón,Desalación,2003,0
02,Aragón,Desalación,2002,0
02,Aragón,Desalación,2001,0
02,Aragón,Desalación,2000,0
03,"Asturias, Principado de",Total,2022,102.168
03,"Asturias, Principado de",Total,2020,91.023
03,"Asturias, Principado de",Total,2018,73.899
03,"Asturias, Principado de",Total,2016,97.907
03,"Asturias, Principado de",Total,2014,161.706
03,"Asturias, Principado de",Total,2013,207.539
03,"Asturias, Principado de",Total,2012,147.135
03,"Asturias, Principado de",Total,2011,149.213
03,"Asturias, Principado de",Total,2010,158.505
03,"Asturias, Principado de",Total,2009,151.757
03,"Asturias, Principado de",Total,2008,128.118
03,"Asturias, Principado de",Total,2007,122.445
03,"Asturias, Principado de",Total,2006,84.198
03,"Asturias, Principado de",Total,2005,130.126
03,"Asturias, Principado de",Total,2004,116.525
03,"Asturias, Principado de",Total,2003,91.384
03,"Asturias, Principado de",Total,2002,89.914
03,"Asturias, Principado de",Total,2001,87.224
03,"Asturias, Principado de",Total,2000,79.780
03,"Asturias, Principado de",Aguas superficiales,2022,72.202
03,"Asturias, Principado de",Aguas superficiales,2020,64.539
03,"Asturias, Principado de",Aguas superficiales,2018,65.368
03,"Asturias, Principado de",Aguas superficiales,2016,74.613
03,"Asturias, Principado de",Aguas superficiales,2014,140.236
03,"Asturias, Principado de",Aguas superficiales,2013,178.431
03,"Asturias, Principado de",Aguas superficiales,2012,119.296
03,"Asturias, Principado de",Aguas superficiales,2011,140.305
03,"Asturias, Principado de",Aguas superficiales,2010,147.373
03,"Asturias, Principado de",Aguas superficiales,2009,138.156
03,"Asturias, Principado de",Aguas superficiales,2008,107.628
03,"Asturias, Principado de",Aguas superficiales,2007,101.065
03,"Asturias, Principado de",Aguas superficiales,2006,63.002
03,"Asturias, Principado de",Aguas superficiales,2005,95.747
03,"Asturias, Principado de",Aguas superficiales,2004,96.262
03,"Asturias, Principado de",Aguas superficiales,2003,76.349
03,"Asturias, Principado de",Aguas superficiales,2002,77.202
03,"Asturias, Principado de",Aguas superficiales,2001,76.129
03,"Asturias, Principado de",Aguas superficiales,2000,67.676
03,"Asturias, Principado de",Aguas subterráneas,2022,29.967
03,"Asturias, Principado de",Aguas subterráneas,2020,26.484
03,"Asturias, Principado de",Aguas subterráneas,2018,8.531
03,"Asturias, Principado de",Aguas subterráneas,2016,23.294
03,"Asturias, Principado de",Aguas subterráneas,2014,21.470
03,"Asturias, Principado de",Aguas subterráneas,2013,29.108
03,"Asturias, Principado de",Aguas subterráneas,2012,27.839
03,"Asturias, Principado de",Aguas subterráneas,2011,8.908
03,"Asturias, Principado de",Aguas subterráneas,2010,11.132
03,"Asturias, Principado de",Aguas subterráneas,2009,13.601
03,"Asturias, Principado de",Aguas subterráneas,2008,20.490
03,"Asturias, Principado de",Aguas subterráneas,2007,21.380
03,"Asturias, Principado de",Aguas subterráneas,2006,21.196
03,"Asturias, Principado de",Aguas subterráneas,2005,34.379
03,"Asturias, Principado de",Aguas subterráneas,2004,20.263
03,"Asturias, Principado de",Aguas subterráneas,2003,15.035
03,"Asturias, Principado de",Aguas subterráneas,2002,12.592
03,"Asturias, Principado de",Aguas subterráneas,2001,11.095
03,"Asturias, Principado de",Aguas subterráneas,2000,12.104
03,"Asturias, Principado de",Desalación,2022,0
03,"Asturias, Principado de",Desalación,2020,0
03,"Asturias, Principado de",Desalación,2018,0
03,"Asturias, Principado de",Desalación,2016,0
03,"Asturias, Principado de",Desalación,2014,0
03,"Asturias, Principado de",Desalación,2013,0
03,"Asturias, Principado de",Desalación,2012,0
03,"Asturias, Principado de",Desalación,2011,0
03,"Asturias, Principado de",Desalación,2010,0
