code,region,lugar_de_destino,periodo,total
00,Total Nacional,Al mar,2022,"31,50"
00,Total Nacional,Al mar,2020,"27,50"
00,Total Nacional,Al mar,2018,"33,20"
00,Total Nacional,Al mar,2016,"33,50"
00,Total Nacional,Al mar,2014,"32,00"
00,Total Nacional,Al mar,2013,"31,50"
00,Total Nacional,Al mar,2012,..
00,Total Nacional,Al mar,2011,..
00,Total Nacional,Al mar,2010,..
00,Total Nacional,Al mar,2009,..
00,Total Nacional,Al mar,2008,..
00,Total Nacional,Al mar,2007,..
00,Total Nacional,Al mar,2006,..
00,Total Nacional,Al mar,2005,..
00,Total Nacional,Al mar,2004,..
00,Total Nacional,Al mar,2003,..
00,Total Nacional,Al mar,2002,..
00,Total Nacional,Al mar,2001,..
00,Total Nacional,Al mar,2000,..
00,Total Nacional,A un cauce fluvial,2022,"53,40"
00,Total Nacional,A un cauce fluvial,2020,"61,20"
00,Total Nacional,A un cauce fluvial,2018,"55,40"
00,Total Nacional,A un cauce fluvial,2016,"55,80"
00,Total Nacional,A un cauce fluvial,2014,"57,00"
00,Total Nacional,A un cauce fluvial,2013,"57,00"
00,Total Nacional,A un cauce fluvial,2012,..
00,Total Nacional,A un cauce fluvial,2011,..
00,Total Nacional,A un cauce fluvial,2010,..
00,Total Nacional,A un cauce fluvial,2009,..
00,Total Nacional,A un cauce fluvial,2008,..
00,Total Nacional,A un cauce fluvial,2007,..
00,Total Nacional,A un cauce fluvial,2006,..
00,Total Nacional,A un cauce fluvial,2005,..
00,Total Nacional,A un cauce fluvial,2004,..
00,Total Nacional,A un cauce fluvial,2003,..
00,Total Nacional,A un cauce fluvial,2002,..
00,Total Nacional,A un cauce fluvial,2001,..
00,Total Nacional,A un cauce fluvial,2000,..
00,Total Nacional,Agua reutilizada,2022,"11,70"
00,Total Nacional,Agua reutilizada,2020,"10,90"
00,Total Nacional,Agua reutilizada,2018,"11,20"
00,Total Nacional,Agua reutilizada,2016,"10,40"
00,Total Nacional,Agua reutilizada,2014,"10,70"
00,Total Nacional,Agua reutilizada,2013,"10,60"
00,Total Nacional,Agua reutilizada,2012,..
00,Total Nacional,Agua reutilizada,2011,..
00,Total Nacional,Agua reutilizada,2010,..
00,Total Nacional,Agua reutilizada,2009,..
00,Total Nacional,Agua reutilizada,2008,..
00,Total Nacional,Agua reutilizada,2007,..
00,Total Nacional,Agua reutilizada,2006,..
00,Total Nacional,Agua reutilizada,2005,..
00,Total Nacional,Agua reutilizada,2004,..
00,Total Nacional,Agua reutilizada,2003,..
00,Total Nacional,Agua reutilizada,2002,..
00,Total Nacional,Agua reutilizada,2001,..
00,Total Nacional,Agua reutilizada,2000,..
00,Total Nacional,Infiltraciones al terreno,2022,"1,00"
00,Total Nacional,Infiltraciones al terreno,2020,"0,30"
00,Total Nacional,Infiltraciones al terreno,2018,"0,20"
00,Total Nacional,Infiltraciones al terreno,2016,"0,20"
00,Total Nacional,Infiltraciones al terreno,2014,"0,20"
00,Total Nacional,Infiltraciones al terreno,2013,"0,40"
00,Total Nacional,Infiltraciones al terreno,2012,..
00,Total Nacional,Infiltraciones al terreno,2011,..
00,Total Nacional,Infiltraciones al terreno,2010,..
00,Total Nacional,Infiltraciones al terreno,2009,..
00,Total Nacional,Infiltraciones al terreno,2008,..
00,Total Nacional,Infiltraciones al terreno,2007,..
00,Total Nacional,Infiltraciones al terreno,2006,..
00,Total Nacional,Infiltraciones al terreno,2005,..
00,Total Nacional,Infiltraciones al terreno,2004,..
00,Total Nacional,Infiltraciones al terreno,2003,..
00,Total Nacional,Infiltraciones al terreno,2002,..
00,Total Nacional,Infiltraciones al terreno,2001,..
00,Total Nacional,Infiltraciones al terreno,2000,..
00,Total Nacional,Otros,2022,"2,50"
00,Total Nacional,Otros,2020,"0,10"
00,Total Nacional,Otros,2018,"0,00"
00,Total Nacional,Otros,2016,"0,10"
00,Total Nacional,Otros,2014,"0,10"
00,Total Nacional,Otros,2013,"0,50"
00,Total Nacional,Otros,2012,..
00,Total Nacional,Otros,2011,..
00,Total Nacional,Otros,2010,..
00,Total Nacional,Otros,2009,..
00,Total Nacional,Otros,2008,..
00,Total Nacional,Otros,2007,..
00,Total Nacional,Otros,2006,..
00,Total Nacional,Otros,2005,..
00,Total Nacional,Otros,2004,..
00,Total Nacional,Otros,2003,..
00,Total Nacional,Otros,2002,..
00,Total Nacional,Otros,2001,..
00,Total Nacional,Otros,2000,..
01,Andalucía,Al mar,2022,"40,34"
01,Andalucía,Al mar,2020,"35,40"
01,Andalucía,Al mar,2018,"35,00"
01,Andalucía,Al mar,2016,"36,10"
01,Andalucía,Al mar,2014,"35,70"
01,Andalucía,Al mar,2013,"35,30"
01,Andalucía,Al mar,2012,..
01,Andalucía,Al mar,2011,..
01,Andalucía,Al mar,2010,..
01,Andalucía,Al mar,2009,..
01,Andalucía,Al mar,2008,..
01,Andalucía,Al mar,2007,..
01,Andalucía,Al mar,2006,..
01,Andalucía,Al mar,2005,..
01,Andalucía,Al mar,2004,..
01,Andalucía,Al mar,2003,..
01,Andalucía,Al mar,2002,..
01,Andalucía,Al mar,2001,..
01,Andalucía,Al mar,2000,..
01,Andalucía,A un cauce fluvial,2022,"54,14"
01,Andalucía,A un cauce fluvial,2020,"59,40"
01,Andalucía,A un cauce fluvial,2018,"60,20"
01,Andalucía,A un cauce fluvial,2016,"58,00"
01,Andalucía,A un cauce fluvial,2014,"56,50"
01,Andalucía,A un cauce fluvial,2013,"54,00"
01,Andalucía,A un cauce fluvial,2012,..
01,Andalucía,A un cauce fluvial,2011,..
01,Andalucía,A un cauce fluvial,2010,..
01,Andalucía,A un cauce fluvial,2009,..
01,Andalucía,A un cauce fluvial,2008,..
01,Andalucía,A un cauce fluvial,2007,..
01,Andalucía,A un cauce fluvial,2006,..
01,Andalucía,A un cauce fluvial,2005,..
01,Andalucía,A un cauce fluvial,2004,..
01,Andalucía,A un cauce fluvial,2003,..
01,Andalucía,A un cauce fluvial,2002,..
01,Andalucía,A un cauce fluvial,2001,..
01,Andalucía,A un cauce fluvial,2000,..
01,Andalucía,Agua reutilizada,2022,"5,45"
01,Andalucía,Agua reutilizada,2020,"5,20"
01,Andalucía,Agua reutilizada,2018,"4,80"
01,Andalucía,Agua reutilizada,2016,"5,90"
01,Andalucía,Agua reutilizada,2014,"7,80"
01,Andalucía,Agua reutilizada,2013,"8,30"
01,Andalucía,Agua reutilizada,2012,..
01,Andalucía,Agua reutilizada,2011,..
01,Andalucía,Agua reutilizada,2010,..
01,Andalucía,Agua reutilizada,2009,..
01,Andalucía,Agua reutilizada,2008,..
01,Andalucía,Agua reutilizada,2007,..
01,Andalucía,Agua reutilizada,2006,..
01,Andalucía,Agua reutilizada,2005,..
01,Andalucía,Agua reutilizada,2004,..
01,Andalucía,Agua reutilizada,2003,..
01,Andalucía,Agua reutilizada,2002,..
01,Andalucía,Agua reutilizada,2001,..
01,Andalucía,Agua reutilizada,2000,..
01,Andalucía,Infiltraciones al terreno,2022,"0,00"
01,Andalucía,Infiltraciones al terreno,2020,"0,00"
01,Andalucía,Infiltraciones al terreno,2018,"0,00"
01,Andalucía,Infiltraciones al terreno,2016,"0,00"
01,Andalucía,Infiltraciones al terreno,2014,"0,00"
01,Andalucía,Infiltraciones al terreno,2013,"0,00"
01,Andalucía,Infiltraciones al terreno,2012,..
01,Andalucía,Infiltraciones al terreno,2011,..
01,Andalucía,Infiltraciones al terreno,2010,..
01,Andalucía,Infiltraciones al terreno,2009,..
01,Andalucía,Infiltraciones al terreno,2008,..
01,Andalucía,Infiltraciones al terreno,2007,..
01,Andalucía,Infiltraciones al terreno,2006,..
01,Andalucía,Infiltraciones al terreno,2005,..
01,Andalucía,Infiltraciones al terreno,2004,..
01,Andalucía,Infiltraciones al terreno,2003,..
01,Andalucía,Infiltraciones al terreno,2002,..
01,Andalucía,Infiltraciones al terreno,2001,..
01,Andalucía,Infiltraciones al terreno,2000,..
