code,region,tipo_de_destino,periodo,total
00,Total Nacional,"Agricultura, silvicultura y jardinería",2022,"85,7"
00,Total Nacional,"Agricultura, silvicultura y jardinería",2020,"86,0"
00,Total Nacional,"Agricultura, silvicultura y jardinería",2018,"87,0"
00,Total Nacional,"Agricultura, silvicultura y jardinería",2016,"80,2"
00,Total Nacional,"Agricultura, silvicultura y jardinería",2014,"79,7"
00,Total Nacional,"Agricultura, silvicultura y jardinería",2013,"77,4"
00,Total Nacional,"Agricultura, silvicultura y jardinería",2012,"70,8"
00,Total Nacional,"Agricultura, silvicultura y jardinería",2011,..
00,Total Nacional,"Agricultura, silvicultura y jardinería",2010,..
00,Total Nacional,"Agricultura, silvicultura y jardinería",2009,..
00,Total Nacional,"Agricultura, silvicultura y jardinería",2008,..
00,Total Nacional,"Agricultura, silvicultura y jardinería",2007,..
00,Total Nacional,"Agricultura, silvicultura y jardinería",2006,..
00,Total Nacional,"Agricultura, silvicultura y jardinería",2005,..
00,Total Nacional,"Agricultura, silvicultura y jardinería",2004,..
00,Total Nacional,"Agricultura, silvicultura y jardinería",2003,..
00,Total Nacional,"Agricultura, silvicultura y jardinería",2002,..
00,Total Nacional,"Agricultura, silvicultura y jardinería",2001,..
00,Total Nacional,"Agricultura, silvicultura y jardinería",2000,..
00,Total Nacional,Incineración o aprovechamiento energético,2022,"6,2"
00,Total Nacional,Incineración o aprovechamiento energético,2020,"9,5"
00,Total Nacional,Incineración o aprovechamiento energético,2018,"5,5"
00,Total Nacional,Incineración o aprovechamiento energético,2016,"9,5"
00,Total Nacional,Incineración o aprovechamiento energético,2014,"9,0"
00,Total Nacional,Incineración o aprovechamiento energético,2013,"10,8"
00,Total Nacional,Incineración o aprovechamiento energético,2012,"11,6"
00,Total Nacional,Incineración o aprovechamiento energético,2011,..
00,Total Nacional,Incineración o aprovechamiento energético,2010,..
00,Total Nacional,Incineración o aprovechamiento energético,2009,..
00,Total Nacional,Incineración o aprovechamiento energético,2008,..
00,Total Nacional,Incineración o aprovechamiento energético,2007,..
00,Total Nacional,Incineración o aprovechamiento energético,2006,..
00,Total Nacional,Incineración o aprovechamiento energético,2005,..
00,Total Nacional,Incineración o aprovechamiento energético,2004,..
00,Total Nacional,Incineración o aprovechamiento energético,2003,..
00,Total Nacional,Incineración o aprovechamiento energético,2002,..
00,Total Nacional,Incineración o aprovechamiento energético,2001,..
00,Total Nacional,Incineración o aprovechamiento energético,2000,..
00,Total Nacional,Vertedero,2022,"8,0"
00,Total Nacional,Vertedero,2020,"4,5"
00,Total Nacional,Vertedero,2018,"7,5"
00,Total Nacional,Vertedero,2016,"10,3"
00,Total Nacional,Vertedero,2014,"11,3"
00,Total Nacional,Vertedero,2013,"11,8"
00,Total Nacional,Vertedero,2012,"17,6"
00,Total Nacional,Vertedero,2011,..
00,Total Nacional,Vertedero,2010,..
00,Total Nacional,Vertedero,2009,..
00,Total Nacional,Vertedero,2008,..
00,Total Nacional,Vertedero,2007,..
00,Total Nacional,Vertedero,2006,..
00,Total Nacional,Vertedero,2005,..
00,Total Nacional,Vertedero,2004,..
00,Total Nacional,Vertedero,2003,..
00,Total Nacional,Vertedero,2002,..
00,Total Nacional,Vertedero,2001,..
00,Total Nacional,Vertedero,2000,..
01,Andalucía,"Agricultura, silvicultura y jardinería",2022,"86,5"
01,Andalucía,"Agricultura, silvicultura y jardinería",2020,"94,1"
01,Andalucía,"Agricultura, silvicultura y jardinería",2018,"94,2"
01,Andalucía,"Agricultura, silvicultura y jardinería",2016,"92,2"
01,Andalucía,"Agricultura, silvicultura y jardinería",2014,"87,2"
01,Andalucía,"Agricultura, silvicultura y jardinería",2013,"86,6"
01,Andalucía,"Agricultura, silvicultura y jardinería",2012,"80,1"
01,Andalucía,"Agricultura, silvicultura y jardinería",2011,..
01,Andalucía,"Agricultura, silvicultura y jardinería",2010,..
01,Andalucía,"Agricultura, silvicultura y jardinería",2009,..
01,Andalucía,"Agricultura, silvicultura y jardinería",2008,..
01,Andalucía,"Agricultura, silvicultura y jardinería",2007,..
01,Andalucía,"Agricultura, silvicultura y jardinería",2006,..
01,Andalucía,"Agricultura, silvicultura y jardinería",2005,..
01,Andalucía,"Agricultura, silvicultura y jardinería",2004,..
01,Andalucía,"Agricultura, silvicultura y jardinería",2003,..
01,Andalucía,"Agricultura, silvicultura y jardinería",2002,..
01,Andalucía,"Agricultura, silvicultura y jardinería",2001,..
01,Andalucía,"Agricultura, silvicultura y jardinería",2000,..
01,Andalucía,Incineración o aprovechamiento energético,2022,"4,7"
01,Andalucía,Incineración o aprovechamiento energético,2020,"0,1"
01,Andalucía,Incineración o aprovechamiento energético,2018,"1,6"
01,Andalucía,Incineración o aprovechamiento energético,2016,"3,0"
01,Andalucía,Incineración o aprovechamiento energético,2014,"3,5"
01,Andalucía,Incineración o aprovechamiento energético,2013,"1,8"
01,Andalucía,Incineración o aprovechamiento energético,2012,"2,9"
