code,region,grupos_de_usuarios_e_importe,periodo,total
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2022,3.151.196
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2020,3.177.815
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2018,3.188.055
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2016,3.199.910
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2014,3.214.034
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2013,3.210.843
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2012,3.338.028
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2011,3.381.318
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2010,3.393.271
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2009,3.500.578
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2008,3.731.399
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2007,3.778.036
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2006,3.913.059
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2005,4.002.180
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2004,4.042.399
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2003,4.019.615
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2002,3.855.697
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2001,3.870.650
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2000,3.781.680
00,Total Nacional,- Sectores económicos,2022,650.451
00,Total Nacional,- Sectores económicos,2020,616.365
00,Total Nacional,- Sectores económicos,2018,629.256
00,Total Nacional,- Sectores económicos,2016,632.504
00,Total Nacional,- Sectores económicos,2014,684.841
00,Total Nacional,- Sectores económicos,2013,694.659
00,Total Nacional,- Sectores económicos,2012,711.170
00,Total Nacional,- Sectores económicos,2011,693.420
00,Total Nacional,- Sectores económicos,2010,675.454
00,Total Nacional,- Sectores económicos,2009,701.655
00,Total Nacional,- Sectores económicos,2008,832.701
00,Total Nacional,- Sectores económicos,2007,852.276
00,Total Nacional,- Sectores económicos,2006,911.264
00,Total Nacional,- Sectores económicos,2005,947.955
00,Total Nacional,- Sectores económicos,2004,969.340
00,Total Nacional,- Sectores económicos,2003,933.309
00,Total Nacional,- Sectores económicos,2002,891.039
00,Total Nacional,- Sectores económicos,2001,920.127
00,Total Nacional,- Sectores económicos,2000,840.165
00,Total Nacional,- Hogares,2022,2.211.620
00,Total Nacional,- Hogares,2020,2.290.800
00,Total Nacional,- Hogares,2018,2.271.205
00,Total Nacional,- Hogares,2016,2.297.352
00,Total Nacional,- Hogares,2014,2.237.746
00,Total Nacional,- Hogares,2013,2.217.686
00,Total Nacional,- Hogares,2012,2.308.872
00,Total Nacional,- Hogares,2011,2.384.386
00,Total Nacional,- Hogares,2010,2.412.708
00,Total Nacional,- Hogares,2009,2.493.842
00,Total Nacional,- Hogares,2008,2.539.891
00,Total Nacional,- Hogares,2007,2.543.714
00,Total Nacional,- Hogares,2006,2.615.751
00,Total Nacional,- Hogares,2005,2.673.564
00,Total Nacional,- Hogares,2004,2.700.928
00,Total Nacional,- Hogares,2003,2.602.904
00,Total Nacional,- Hogares,2002,2.511.810
00,Total Nacional,- Hogares,2001,2.459.548
00,Total Nacional,- Hogares,2000,2.482.085
00,Total Nacional,- Consumos municipales,2022,289.125
00,Total Nacional,- Consumos municipales,2020,270.650
00,Total Nacional,- Consumos municipales,2018,287.594
00,Total Nacional,- Consumos municipales,2016,270.054
00,Total Nacional,- Consumos municipales,2014,291.447
00,Total Nacional,- Consumos municipales,2013,298.498
00,Total Nacional,- Consumos municipales,2012,317.986
00,Total Nacional,- Consumos municipales,2011,303.512
00,Total Nacional,- Consumos municipales,2010,305.109
00,Total Nacional,- Consumos municipales,2009,305.081
00,Total Nacional,- Consumos municipales,2008,358.807
00,Total Nacional,- Consumos municipales,2007,382.046
00,Total Nacional,- Consumos municipales,2006,386.044
