grupos_de_usuarios,periodo,total
Total,2022,3.151.196
Total,2020,3.177.815
Total,2018,3.188.055
Total,2016,3.199.910
Total,2014,3.214.034
Total,2013,3.210.843
Total,2012,3.338.028
Total,2011,3.381.318
Total,2010,3.393.271
Total,2009,3.500.578
Total,2008,3.731.399
Total,2007,3.778.036
Total,2006,3.913.059
Total,2005,..
Total,2004,..
Total,2003,..
Total,2002,..
Total,2001,..
Total,2000,..
Hogares,2022,2.211.620
Hogares,2020,2.290.800
Hogares,2018,2.271.205
Hogares,2016,2.297.352
Hogares,2014,2.237.746
Hogares,2013,2.217.686
Hogares,2012,2.308.872
Hogares,2011,2.384.386
Hogares,2010,2.412.708
Hogares,2009,2.493.842
Hogares,2008,2.539.891
Hogares,2007,2.543.714
Hogares,2006,2.615.751
Hogares,2005,..
Hogares,2004,..
Hogares,2003,..
Hogares,2002,..
Hogares,2001,..
Hogares,2000,..
Industria,2022,375.058
Industria,2020,320.122
Industria,2018,329.272
Industria,2016,321.219
Industria,2014,349.320
Industria,2013,344.986
Industria,2012,358.956
Industria,2011,348.796
Industria,2010,354.106
Industria,2009,361.773
Industria,2008,370.520
Industria,2007,458.290
Industria,2006,486.199
Industria,2005,..
Industria,2004,..
Industria,2003,..
Industria,2002,..
Industria,2001,..
Industria,2000,..
Servicios,2022,124.288
Servicios,2020,123.993
Servicios,2018,120.250
Servicios,2016,145.542
Servicios,2014,160.375
Servicios,2013,167.628
Servicios,2012,156.970
Servicios,2011,156.582
Servicios,2010,132.513
Servicios,2009,139.933
Servicios,2008,218.522
Servicios,2007,170.235
Servicios,2006,197.889
Servicios,2005,..
Servicios,2004,..
Servicios,2003,..
Servicios,2002,..
Servicios,2001,..
Servicios,2000,..
Usos turísticos y recreativos,2022,134.646
Usos turísticos y recreativos,2020,134.941
Usos turísticos y recreativos,2018,138.422
Usos turísticos y recreativos,2016,129.122
Usos turísticos y recreativos,2014,137.545
Usos turísticos y recreativos,2013,142.580
Usos turísticos y recreativos,2012,142.420
Usos turísticos y recreativos,2011,138.213
Usos turísticos y recreativos,2010,132.235
Usos turísticos y recreativos,2009,132.049
Usos turísticos y recreativos,2008,164.859
Usos turísticos y recreativos,2007,121.751
Usos turísticos y recreativos,2006,127.676
Usos turísticos y recreativos,2005,..
Usos turísticos y recreativos,2004,..
Usos turísticos y recreativos,2003,..
Usos turísticos y recreativos,2002,..
Usos turísticos y recreativos,2001,..
Usos turísticos y recreativos,2000,..
Agricultura y ganadería,2022,27.529
Agricultura y ganadería,2020,20.569
Agricultura y ganadería,2018,22.812
Agricultura y ganadería,2016,20.720
Agricultura y ganadería,2014,25.458
Agricultura y ganadería,2013,22.816
Agricultura y ganadería,2012,34.077
Agricultura y ganadería,2011,37.325
Agricultura y ganadería,2010,48.100
Agricultura y ganadería,2009,58.600
Agricultura y ganadería,2008,61.300
Agricultura y ganadería,2007,62.700
Agricultura y ganadería,2006,53.200
Agricultura y ganadería,2005,..
Agricultura y ganadería,2004,..
Agricultura y ganadería,2003,..
Agricultura y ganadería,2002,..
Agricultura y ganadería,2001,..
Agricultura y ganadería,2000,..
Construcción,2022,12.018
Construcción,2020,16.740
Construcción,2018,18.500
Construcción,2016,15.901
Construcción,2014,12.143
Construcción,2013,16.649
Construcción,2012,18.747
Construcción,2011,12.504
Construcción,2010,8.500
Construcción,2009,9.300
Construcción,2008,17.500
Construcción,2007,39.300
Construcción,2006,46.300
Construcción,2005,..
Construcción,2004,..
Construcción,2003,..
Construcción,2002,..
Construcción,2001,..
Construcción,2000,..
Consumos municipales,2022,289.125
Consumos municipales,2020,270.650
Consumos municipales,2018,287.594
Consumos municipales,2016,270.054
Consumos municipales,2014,291.447
Consumos municipales,2013,298.498
Consumos municipales,2012,317.986
Consumos municipales,2011,303.512
Consumos municipales,2010,305.109
Consumos municipales,2009,305.081
Consumos municipales,2008,358.807
Consumos municipales,2007,382.046
Consumos municipales,2006,386.044
Consumos municipales,2005,..
Consumos municipales,2004,..
Consumos municipales,2003,..
Consumos municipales,2002,..
Consumos municipales,2001,..
Consumos municipales,2000,..
