region_code,region,principales_indicadores,periodo,total
00,Total Nacional,Coste unitario del agua,2022,"1,92"
00,Total Nacional,Coste unitario del agua,2020,"1,92"
00,Total Nacional,Coste unitario del agua,2018,"1,91"
00,Total Nacional,Coste unitario del agua,2016,"1,95"
00,Total Nacional,Coste unitario del agua,2014,"1,89"
00,Total Nacional,Coste unitario del agua,2013,"1,83"
00,Total Nacional,Coste unitario del agua,2012,"1,73"
00,Total Nacional,Coste unitario del agua,2011,"1,54"
00,Total Nacional,Coste unitario del agua,2010,"1,51"
00,Total Nacional,Coste unitario del agua,2009,"1,42"
00,Total Nacional,Coste unitario del agua,2008,"1,31"
00,Total Nacional,Coste unitario del agua,2007,"1,26"
00,Total Nacional,Coste unitario del agua,2006,"1,07"
00,Total Nacional,Coste unitario del agua,2005,"1,00"
00,Total Nacional,Coste unitario del agua,2004,"0,95"
00,Total Nacional,Coste unitario del agua,2003,"0,86"
00,Total Nacional,Coste unitario del agua,2002,"0,81"
00,Total Nacional,Coste unitario del agua,2001,"0,76"
00,Total Nacional,Coste unitario del agua,2000,"0,73"
00,Total Nacional,1 Suministro de agua,2022,"1,16"
00,Total Nacional,1 Suministro de agua,2020,"1,14"
00,Total Nacional,1 Suministro de agua,2018,"1,13"
00,Total Nacional,1 Suministro de agua,2016,"1,17"
00,Total Nacional,1 Suministro de agua,2014,"1,10"
00,Total Nacional,1 Suministro de agua,2013,"1,09"
00,Total Nacional,1 Suministro de agua,2012,"1,03"
00,Total Nacional,1 Suministro de agua,2011,"0,95"
00,Total Nacional,1 Suministro de agua,2010,"0,92"
00,Total Nacional,1 Suministro de agua,2009,"0,88"
00,Total Nacional,1 Suministro de agua,2008,"0,81"
00,Total Nacional,1 Suministro de agua,2007,"0,75"
00,Total Nacional,1 Suministro de agua,2006,"0,71"
00,Total Nacional,1 Suministro de agua,2005,"0,67"
00,Total Nacional,1 Suministro de agua,2004,"0,66"
00,Total Nacional,1 Suministro de agua,2003,"0,64"
00,Total Nacional,1 Suministro de agua,2002,"0,61"
00,Total Nacional,1 Suministro de agua,2001,"0,57"
00,Total Nacional,1 Suministro de agua,2000,"0,56"
00,Total Nacional,2 Alcantarillado y Depuración,2022,"0,76"
00,Total Nacional,2 Alcantarillado y Depuración,2020,"0,78"
00,Total Nacional,2 Alcantarillado y Depuración,2018,"0,78"
00,Total Nacional,2 Alcantarillado y Depuración,2016,"0,78"
00,Total Nacional,2 Alcantarillado y Depuración,2014,"0,79"
00,Total Nacional,2 Alcantarillado y Depuración,2013,"0,74"
00,Total Nacional,2 Alcantarillado y Depuración,2012,"0,70"
00,Total Nacional,2 Alcantarillado y Depuración,2011,"0,59"
00,Total Nacional,2 Alcantarillado y Depuración,2010,"0,59"
00,Total Nacional,2 Alcantarillado y Depuración,2009,"0,54"
