code,region,principales_indicadores,periodo,total
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2022,"5,7"
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2020,"5,6"
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2018,"5,7"
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2016,"5,5"
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2014,"5,6"
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2013,"5,8"
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2012,..
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2011,..
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2010,..
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2009,..
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2008,..
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2007,..
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2006,..
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2005,..
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2004,..
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2003,..
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2002,..
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2001,..
00,Total Nacional,Longitud de la red de suministro por habitante (metros/habitante),2000,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2022,"4,5"
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2020,"3,1"
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2018,"3,1"
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2016,"3,1"
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2014,"3,2"
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2013,"3,2"
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2012,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2011,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2010,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2009,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2008,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2007,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2006,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2005,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2004,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2003,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2002,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2001,..
00,Total Nacional,Longitud de la red de alcantarillado por habitante (metros/habitante),2000,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2022,2.543
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2020,2.448
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2018,2.476
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2016,2.728
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2014,2.503
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2013,2.492
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2012,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2011,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2010,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2009,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2008,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2007,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2006,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2005,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2004,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2003,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2002,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2001,..
00,Total Nacional,Pérdidas reales por km de red de suministro (m3/km/año),2000,..
00,Total Nacional,Número de tanques de tormenta,2022,275
00,Total Nacional,Número de tanques de tormenta,2020,270
00,Total Nacional,Número de tanques de tormenta,2018,268
00,Total Nacional,Número de tanques de tormenta,2016,275
00,Total Nacional,Número de tanques de tormenta,2014,314
00,Total Nacional,Número de tanques de tormenta,2013,272
00,Total Nacional,Número de tanques de tormenta,2012,..
00,Total Nacional,Número de tanques de tormenta,2011,..
00,Total Nacional,Número de tanques de tormenta,2010,..
00,Total Nacional,Número de tanques de tormenta,2009,..
00,Total Nacional,Número de tanques de tormenta,2008,..
00,Total Nacional,Número de tanques de tormenta,2007,..
00,Total Nacional,Número de tanques de tormenta,2006,..
00,Total Nacional,Número de tanques de tormenta,2005,..
00,Total Nacional,Número de tanques de tormenta,2004,..
00,Total Nacional,Número de tanques de tormenta,2003,..
00,Total Nacional,Número de tanques de tormenta,2002,..
00,Total Nacional,Número de tanques de tormenta,2001,..
00,Total Nacional,Número de tanques de tormenta,2000,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2022,"5,3"
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2020,"5,4"
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2018,"5,4"
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2016,"5,3"
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2014,"5,5"
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2013,"5,3"
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2012,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2011,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2010,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2009,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2008,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2007,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2006,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2005,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2004,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2003,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2002,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2001,..
01,Andalucía,Longitud de la red de suministro por habitante (metros/habitante),2000,..
01,Andalucía,Longitud de la red de alcantarillado por habitante (metros/habitante),2022,"4,0"
01,Andalucía,Longitud de la red de alcantarillado por habitante (metros/habitante),2020,"3,8"
01,Andalucía,Longitud de la red de alcantarillado por habitante (metros/habitante),2018,"3,6"
01,Andalucía,Longitud de la red de alcantarillado por habitante (metros/habitante),2016,"3,7"
01,Andalucía,Longitud de la red de alcantarillado por habitante (metros/habitante),2014,"3,8"
01,Andalucía,Longitud de la red de alcantarillado por habitante (metros/habitante),2013,"3,7"
01,Andalucía,Longitud de la red de alcantarillado por habitante (metros/habitante),2012,..
