region_code,region,principales_indicadores,periodo,total
00,Total Nacional,Volumen de aguas residuales depuradas,2022,"0,324"
00,Total Nacional,Volumen de aguas residuales depuradas,2020,"0,282"
00,Total Nacional,Volumen de aguas residuales depuradas,2018,"0,293"
00,Total Nacional,Volumen de aguas residuales depuradas,2016,"0,279"
00,Total Nacional,Volumen de aguas residuales depuradas,2014,"0,291"
00,Total Nacional,Volumen de aguas residuales depuradas,2013,"0,294"
00,Total Nacional,Volumen de aguas residuales depuradas,2012,"0,291"
00,Total Nacional,Volumen de aguas residuales depuradas,2011,"0,289"
00,Total Nacional,Volumen de aguas residuales depuradas,2010,"0,286"
00,Total Nacional,Volumen de aguas residuales depuradas,2009,"0,276"
00,Total Nacional,Volumen de aguas residuales depuradas,2008,"0,269"
00,Total Nacional,Volumen de aguas residuales depuradas,2007,"0,277"
00,Total Nacional,Volumen de aguas residuales depuradas,2006,"0,301"
00,Total Nacional,Volumen de aguas residuales depuradas,2005,"0,316"
00,Total Nacional,Volumen de aguas residuales depuradas,2004,"0,317"
00,Total Nacional,Volumen de aguas residuales depuradas,2003,"0,201"
00,Total Nacional,Volumen de aguas residuales depuradas,2002,"0,194"
00,Total Nacional,Volumen de aguas residuales depuradas,2001,"0,189"
00,Total Nacional,Volumen de aguas residuales depuradas,2000,"0,191"
00,Total Nacional,Volumen de agua reutilizada,2022,"0,026"
00,Total Nacional,Volumen de agua reutilizada,2020,"0,031"
00,Total Nacional,Volumen de agua reutilizada,2018,"0,033"
00,Total Nacional,Volumen de agua reutilizada,2016,"0,029"
00,Total Nacional,Volumen de agua reutilizada,2014,"0,031"
00,Total Nacional,Volumen de agua reutilizada,2013,"0,031"
00,Total Nacional,Volumen de agua reutilizada,2012,"0,032"
00,Total Nacional,Volumen de agua reutilizada,2011,"0,036"
00,Total Nacional,Volumen de agua reutilizada,2010,"0,029"
00,Total Nacional,Volumen de agua reutilizada,2009,"0,032"
00,Total Nacional,Volumen de agua reutilizada,2008,"0,031"
00,Total Nacional,Volumen de agua reutilizada,2007,"0,030"
00,Total Nacional,Volumen de agua reutilizada,2006,"0,030"
00,Total Nacional,Volumen de agua reutilizada,2005,"0,025"
00,Total Nacional,Volumen de agua reutilizada,2004,"0,024"
00,Total Nacional,Volumen de agua reutilizada,2003,"0,011"
00,Total Nacional,Volumen de agua reutilizada,2002,"0,012"
00,Total Nacional,Volumen de agua reutilizada,2001,"0,014"
00,Total Nacional,Volumen de agua reutilizada,2000,"0,018"
01,Andalucía,Volumen de aguas residuales depuradas,2022,"0,193"
01,Andalucía,Volumen de aguas residuales depuradas,2020,"0,226"
01,Andalucía,Volumen de aguas residuales depuradas,2018,"0,251"
01,Andalucía,Volumen de aguas residuales depuradas,2016,"0,228"
01,Andalucía,Volumen de aguas residuales depuradas,2014,"0,239"
01,Andalucía,Volumen de aguas residuales depuradas,2013,"0,247"
01,Andalucía,Volumen de aguas residuales depuradas,2012,"0,278"
01,Andalucía,Volumen de aguas residuales depuradas,2011,"0,270"
01,Andalucía,Volumen de aguas residuales depuradas,2010,"0,221"
01,Andalucía,Volumen de aguas residuales depuradas,2009,"0,190"
01,Andalucía,Volumen de aguas residuales depuradas,2008,"0,182"
01,Andalucía,Volumen de aguas residuales depuradas,2007,"0,172"
01,Andalucía,Volumen de aguas residuales depuradas,2006,"0,223"
01,Andalucía,Volumen de aguas residuales depuradas,2005,"0,224"
01,Andalucía,Volumen de aguas residuales depuradas,2004,"0,261"
01,Andalucía,Volumen de aguas residuales depuradas,2003,"0,218"
01,Andalucía,Volumen de aguas residuales depuradas,2002,"0,208"
01,Andalucía,Volumen de aguas residuales depuradas,2001,"0,215"
01,Andalucía,Volumen de aguas residuales depuradas,2000,"0,209"
01,Andalucía,Volumen de agua reutilizada,2022,"0,010"
01,Andalucía,Volumen de agua reutilizada,2020,"0,012"
01,Andalucía,Volumen de agua reutilizada,2018,"0,012"
01,Andalucía,Volumen de agua reutilizada,2016,"0,014"
01,Andalucía,Volumen de agua reutilizada,2014,"0,019"
01,Andalucía,Volumen de agua reutilizada,2013,"0,021"
01,Andalucía,Volumen de agua reutilizada,2012,"0,029"
01,Andalucía,Volumen de agua reutilizada,2011,"0,038"
01,Andalucía,Volumen de agua reutilizada,2010,"0,041"
01,Andalucía,Volumen de agua reutilizada,2009,"0,040"
01,Andalucía,Volumen de agua reutilizada,2008,"0,032"
01,Andalucía,Volumen de agua reutilizada,2007,"0,041"
01,Andalucía,Volumen de agua reutilizada,2006,"0,016"
01,Andalucía,Volumen de agua reutilizada,2005,"0,017"
01,Andalucía,Volumen de agua reutilizada,2004,"0,019"
01,Andalucía,Volumen de agua reutilizada,2003,"0,014"
01,Andalucía,Volumen de agua reutilizada,2002,"0,014"
01,Andalucía,Volumen de agua reutilizada,2001,"0,010"
01,Andalucía,Volumen de agua reutilizada,2000,"0,016"
02,Aragón,Volumen de aguas residuales depuradas,2022,"0,442"
02,Aragón,Volumen de aguas residuales depuradas,2020,"0,331"
02,Aragón,Volumen de aguas residuales depuradas,2018,"0,364"
02,Aragón,Volumen de aguas residuales depuradas,2016,"0,400"
02,Aragón,Volumen de aguas residuales depuradas,2014,"0,416"
02,Aragón,Volumen de aguas residuales depuradas,2013,"0,418"
02,Aragón,Volumen de aguas residuales depuradas,2012,"0,383"
02,Aragón,Volumen de aguas residuales depuradas,2011,"0,408"
02,Aragón,Volumen de aguas residuales depuradas,2010,"0,483"
02,Aragón,Volumen de aguas residuales depuradas,2009,"0,504"
02,Aragón,Volumen de aguas residuales depuradas,2008,"0,462"
02,Aragón,Volumen de aguas residuales depuradas,2007,"0,451"
02,Aragón,Volumen de aguas residuales depuradas,2006,"0,431"
02,Aragón,Volumen de aguas residuales depuradas,2005,"0,459"
02,Aragón,Volumen de aguas residuales depuradas,2004,"0,460"
02,Aragón,Volumen de aguas residuales depuradas,2003,"0,237"
02,Aragón,Volumen de aguas residuales depuradas,2002,"0,203"
02,Aragón,Volumen de aguas residuales depuradas,2001,"0,206"
02,Aragón,Volumen de aguas residuales depuradas,2000,"0,215"
02,Aragón,Volumen de agua reutilizada,2022,"0,001"
02,Aragón,Volumen de agua reutilizada,2020,"0,008"
02,Aragón,Volumen de agua reutilizada,2018,"0,028"
02,Aragón,Volumen de agua reutilizada,2016,"0,003"
02,Aragón,Volumen de agua reutilizada,2014,"0,003"
02,Aragón,Volumen de agua reutilizada,2013,"0,003"
02,Aragón,Volumen de agua reutilizada,2012,"0,003"
02,Aragón,Volumen de agua reutilizada,2011,"0,003"
02,Aragón,Volumen de agua reutilizada,2010,"0,004"
02,Aragón,Volumen de agua reutilizada,2009,"0,003"
02,Aragón,Volumen de agua reutilizada,2008,"0,002"
02,Aragón,Volumen de agua reutilizada,2007,"0,002"
02,Aragón,Volumen de agua reutilizada,2006,"0,001"
02,Aragón,Volumen de agua reutilizada,2005,"0,003"
02,Aragón,Volumen de agua reutilizada,2004,"0,001"
02,Aragón,Volumen de agua reutilizada,2003,"0,000"
02,Aragón,Volumen de agua reutilizada,2002,"0,030"
02,Aragón,Volumen de agua reutilizada,2001,"0,026"
02,Aragón,Volumen de agua reutilizada,2000,"0,026"
