code,region,tipo_de_uso,periodo,total
00,Total Nacional,Agricultura,2022,"71,8"
00,Total Nacional,Agricultura,2020,"72,4"
00,Total Nacional,Agricultura,2018,"65,8"
00,Total Nacional,Agricultura,2016,"61,2"
00,Total Nacional,Agricultura,2014,"61,3"
00,Total Nacional,Agricultura,2013,"64,2"
00,Total Nacional,Agricultura,2012,"62,4"
00,Total Nacional,Agricultura,2011,"62,1"
00,Total Nacional,Agricultura,2010,..
00,Total Nacional,Agricultura,2009,..
00,Total Nacional,Agricultura,2008,..
00,Total Nacional,Agricultura,2007,..
00,Total Nacional,Agricultura,2006,..
00,Total Nacional,Agricultura,2005,..
00,Total Nacional,Agricultura,2004,..
00,Total Nacional,Agricultura,2003,..
00,Total Nacional,Agricultura,2002,..
00,Total Nacional,Agricultura,2001,..
00,Total Nacional,Agricultura,2000,..
00,Total Nacional,Industria,2022,"16,6"
00,Total Nacional,Industria,2020,"2,5"
00,Total Nacional,Industria,2018,"3,8"
00,Total Nacional,Industria,2016,"5,1"
00,Total Nacional,Industria,2014,"8,2"
00,Total Nacional,Industria,2013,"6,7"
00,Total Nacional,Industria,2012,"7,7"
00,Total Nacional,Industria,2011,"6,5"
00,Total Nacional,Industria,2010,..
00,Total Nacional,Industria,2009,..
00,Total Nacional,Industria,2008,..
00,Total Nacional,Industria,2007,..
00,Total Nacional,Industria,2006,..
00,Total Nacional,Industria,2005,..
00,Total Nacional,Industria,2004,..
00,Total Nacional,Industria,2003,..
00,Total Nacional,Industria,2002,..
00,Total Nacional,Industria,2001,..
00,Total Nacional,Industria,2000,..
00,Total Nacional,Jardines y zonas deportivas de ocio,2022,"10,9"
00,Total Nacional,Jardines y zonas deportivas de ocio,2020,"17,2"
00,Total Nacional,Jardines y zonas deportivas de ocio,2018,"26,1"
00,Total Nacional,Jardines y zonas deportivas de ocio,2016,"19,0"
00,Total Nacional,Jardines y zonas deportivas de ocio,2014,"18,5"
00,Total Nacional,Jardines y zonas deportivas de ocio,2013,"18,8"
00,Total Nacional,Jardines y zonas deportivas de ocio,2012,"17,9"
00,Total Nacional,Jardines y zonas deportivas de ocio,2011,"23,2"
00,Total Nacional,Jardines y zonas deportivas de ocio,2010,..
00,Total Nacional,Jardines y zonas deportivas de ocio,2009,..
00,Total Nacional,Jardines y zonas deportivas de ocio,2008,..
00,Total Nacional,Jardines y zonas deportivas de ocio,2007,..
00,Total Nacional,Jardines y zonas deportivas de ocio,2006,..
00,Total Nacional,Jardines y zonas deportivas de ocio,2005,..
00,Total Nacional,Jardines y zonas deportivas de ocio,2004,..
00,Total Nacional,Jardines y zonas deportivas de ocio,2003,..
00,Total Nacional,Jardines y zonas deportivas de ocio,2002,..
00,Total Nacional,Jardines y zonas deportivas de ocio,2001,..
00,Total Nacional,Jardines y zonas deportivas de ocio,2000,..
00,Total Nacional,Limpieza de alcantarillado y baldeo de calles,2022,"0,8"
00,Total Nacional,Limpieza de alcantarillado y baldeo de calles,2020,"2,4"
00,Total Nacional,Limpieza de alcantarillado y baldeo de calles,2018,"2,5"
00,Total Nacional,Limpieza de alcantarillado y baldeo de calles,2016,"1,6"
00,Total Nacional,Limpieza de alcantarillado y baldeo de calles,2014,"0,6"
00,Total Nacional,Limpieza de alcantarillado y baldeo de calles,2013,"0,5"
00,Total Nacional,Limpieza de alcantarillado y baldeo de calles,2012,"1,2"
00,Total Nacional,Limpieza de alcantarillado y baldeo de calles,2011,"0,9"
00,Total Nacional,Limpieza de alcantarillado y baldeo de calles,2010,..
00,Total Nacional,Limpieza de alcantarillado y baldeo de calles,2009,..
00,Total Nacional,Limpieza de alcantarillado y baldeo de calles,2008,..
