code,region,tipo_de_indicador,periodo,total
00,Total Nacional,Volumen de agua disponible no potabilizada,2022,4.104.787
00,Total Nacional,Volumen de agua disponible no potabilizada,2020,3.832.419
00,Total Nacional,Volumen de agua disponible no potabilizada,2018,3.875.742
00,Total Nacional,Volumen de agua disponible no potabilizada,2016,4.278.776
00,Total Nacional,Volumen de agua disponible no potabilizada,2014,4.313.077
00,Total Nacional,Volumen de agua disponible no potabilizada,2013,4.555.458
00,Total Nacional,Volumen de agua disponible no potabilizada,2012,4.161.930
00,Total Nacional,Volumen de agua disponible no potabilizada,2011,4.038.357
00,Total Nacional,Volumen de agua disponible no potabilizada,2010,4.237.729
00,Total Nacional,Volumen de agua disponible no potabilizada,2009,4.303.986
00,Total Nacional,Volumen de agua disponible no potabilizada,2008,4.506.090
00,Total Nacional,Volumen de agua disponible no potabilizada,2007,4.525.650
00,Total Nacional,Volumen de agua disponible no potabilizada,2006,4.460.367
00,Total Nacional,Volumen de agua disponible no potabilizada,2005,4.825.812
00,Total Nacional,Volumen de agua disponible no potabilizada,2004,4.954.336
00,Total Nacional,Volumen de agua disponible no potabilizada,2003,4.936.621
00,Total Nacional,Volumen de agua disponible no potabilizada,2002,4.785.150
00,Total Nacional,Volumen de agua disponible no potabilizada,2001,4.781.117
00,Total Nacional,Volumen de agua disponible no potabilizada,2000,4.525.668
00,Total Nacional,Volumen de agua disponible para su potabilización,2022,4.670.479
00,Total Nacional,Volumen de agua disponible para su potabilización,2020,4.599.732
00,Total Nacional,Volumen de agua disponible para su potabilización,2018,4.769.709
00,Total Nacional,Volumen de agua disponible para su potabilización,2016,5.201.705
00,Total Nacional,Volumen de agua disponible para su potabilización,2014,4.870.238
00,Total Nacional,Volumen de agua disponible para su potabilización,2013,4.941.764
00,Total Nacional,Volumen de agua disponible para su potabilización,2012,4.902.209
00,Total Nacional,Volumen de agua disponible para su potabilización,2011,4.941.747
00,Total Nacional,Volumen de agua disponible para su potabilización,2010,4.950.457
00,Total Nacional,Volumen de agua disponible para su potabilización,2009,5.057.884
00,Total Nacional,Volumen de agua disponible para su potabilización,2008,5.315.843
00,Total Nacional,Volumen de agua disponible para su potabilización,2007,5.506.355
00,Total Nacional,Volumen de agua disponible para su potabilización,2006,5.701.638
00,Total Nacional,Volumen de agua disponible para su potabilización,2005,5.990.243
00,Total Nacional,Volumen de agua disponible para su potabilización,2004,6.086.565
00,Total Nacional,Volumen de agua disponible para su potabilización,2003,6.037.788
00,Total Nacional,Volumen de agua disponible para su potabilización,2002,5.645.608
00,Total Nacional,Volumen de agua disponible para su potabilización,2001,5.584.860
00,Total Nacional,Volumen de agua disponible para su potabilización,2000,5.212.091
01,Andalucía,Volumen de agua disponible no potabilizada,2022,713.082
01,Andalucía,Volumen de agua disponible no potabilizada,2020,780.687
01,Andalucía,Volumen de agua disponible no potabilizada,2018,745.853
01,Andalucía,Volumen de agua disponible no potabilizada,2016,799.191
01,Andalucía,Volumen de agua disponible no potabilizada,2014,797.849
01,Andalucía,Volumen de agua disponible no potabilizada,2013,820.167
01,Andalucía,Volumen de agua disponible no potabilizada,2012,800.645
01,Andalucía,Volumen de agua disponible no potabilizada,2011,790.635
01,Andalucía,Volumen de agua disponible no potabilizada,2010,802.061
01,Andalucía,Volumen de agua disponible no potabilizada,2009,826.226
01,Andalucía,Volumen de agua disponible no potabilizada,2008,745.189
01,Andalucía,Volumen de agua disponible no potabilizada,2007,827.590
01,Andalucía,Volumen de agua disponible no potabilizada,2006,871.359
01,Andalucía,Volumen de agua disponible no potabilizada,2005,1.099.057
01,Andalucía,Volumen de agua disponible no potabilizada,2004,1.108.539
01,Andalucía,Volumen de agua disponible no potabilizada,2003,931.700
01,Andalucía,Volumen de agua disponible no potabilizada,2002,968.698
01,Andalucía,Volumen de agua disponible no potabilizada,2001,923.057
01,Andalucía,Volumen de agua disponible no potabilizada,2000,824.743
01,Andalucía,Volumen de agua disponible para su potabilización,2022,868.494
01,Andalucía,Volumen de agua disponible para su potabilización,2020,855.882
01,Andalucía,Volumen de agua disponible para su potabilización,2018,900.751
01,Andalucía,Volumen de agua disponible para su potabilización,2016,903.465
01,Andalucía,Volumen de agua disponible para su potabilización,2014,862.801
01,Andalucía,Volumen de agua disponible para su potabilización,2013,821.283
01,Andalucía,Volumen de agua disponible para su potabilización,2012,864.593
01,Andalucía,Volumen de agua disponible para su potabilización,2011,887.870
01,Andalucía,Volumen de agua disponible para su potabilización,2010,897.001
01,Andalucía,Volumen de agua disponible para su potabilización,2009,934.342
01,Andalucía,Volumen de agua disponible para su potabilización,2008,925.909
01,Andalucía,Volumen de agua disponible para su potabilización,2007,950.833
01,Andalucía,Volumen de agua disponible para su potabilización,2006,1.133.420
01,Andalucía,Volumen de agua disponible para su potabilización,2005,1.275.686
01,Andalucía,Volumen de agua disponible para su potabilización,2004,1.298.743
01,Andalucía,Volumen de agua disponible para su potabilización,2003,1.208.516
01,Andalucía,Volumen de agua disponible para su potabilización,2002,1.051.048
01,Andalucía,Volumen de agua disponible para su potabilización,2001,1.047.048
01,Andalucía,Volumen de agua disponible para su potabilización,2000,918.192
02,Aragón,Volumen de agua disponible no potabilizada,2022,226.073
02,Aragón,Volumen de agua disponible no potabilizada,2020,149.055
02,Aragón,Volumen de agua disponible no potabilizada,2018,144.671
02,Aragón,Volumen de agua disponible no potabilizada,2016,178.151
02,Aragón,Volumen de agua disponible no potabilizada,2014,320.506
02,Aragón,Volumen de agua disponible no potabilizada,2013,263.561
02,Aragón,Volumen de agua disponible no potabilizada,2012,317.349
02,Aragón,Volumen de agua disponible no potabilizada,2011,200.272
02,Aragón,Volumen de agua disponible no potabilizada,2010,189.771
02,Aragón,Volumen de agua disponible no potabilizada,2009,198.015
02,Aragón,Volumen de agua disponible no potabilizada,2008,187.941
02,Aragón,Volumen de agua disponible no potabilizada,2007,166.298
02,Aragón,Volumen de agua disponible no potabilizada,2006,159.277
02,Aragón,Volumen de agua disponible no potabilizada,2005,222.519
02,Aragón,Volumen de agua disponible no potabilizada,2004,208.255
02,Aragón,Volumen de agua disponible no potabilizada,2003,207.147
02,Aragón,Volumen de agua disponible no potabilizada,2002,181.084
02,Aragón,Volumen de agua disponible no potabilizada,2001,183.400
02,Aragón,Volumen de agua disponible no potabilizada,2000,179.916
02,Aragón,Volumen de agua disponible para su potabilización,2022,238.261
02,Aragón,Volumen de agua disponible para su potabilización,2020,147.214
02,Aragón,Volumen de agua disponible para su potabilización,2018,150.933
02,Aragón,Volumen de agua disponible para su potabilización,2016,183.094
02,Aragón,Volumen de agua disponible para su potabilización,2014,160.954
02,Aragón,Volumen de agua disponible para su potabilización,2013,159.948
02,Aragón,Volumen de agua disponible para su potabilización,2012,191.261
02,Aragón,Volumen de agua disponible para su potabilización,2011,166.138
02,Aragón,Volumen de agua disponible para su potabilización,2010,170.857
02,Aragón,Volumen de agua disponible para su potabilización,2009,177.431
02,Aragón,Volumen de agua disponible para su potabilización,2008,173.537
02,Aragón,Volumen de agua disponible para su potabilización,2007,162.557
02,Aragón,Volumen de agua disponible para su potabilización,2006,159.514
02,Aragón,Volumen de agua disponible para su potabilización,2005,227.996
02,Aragón,Volumen de agua disponible para su potabilización,2004,211.834
02,Aragón,Volumen de agua disponible para su potabilización,2003,215.124
02,Aragón,Volumen de agua disponible para su potabilización,2002,186.483
02,Aragón,Volumen de agua disponible para su potabilización,2001,186.867
02,Aragón,Volumen de agua disponible para su potabilización,2000,186.109
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2022,113.926
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2020,106.129
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2018,85.341
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2016,112.987
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2014,184.790
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2013,228.339
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2012,176.036
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2011,160.684
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2010,161.986
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2009,163.443
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2008,165.394
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2007,155.243
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2006,99.872
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2005,143.120
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2004,130.073
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2003,99.847
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2002,99.306
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2001,87.224
03,"Asturias, Principado de",Volumen de agua disponible no potabilizada,2000,79.780
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2022,120.703
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2020,138.978
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2018,118.597
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2016,153.038
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2014,164.655
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2013,136.348
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2012,130.345
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2011,132.287
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2010,134.144
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2009,140.692
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2008,151.986
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2007,149.312
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2006,150.737
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2005,192.691
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2004,173.044
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2003,142.637
