region_code,region,tipo_de_indicador,periodo,total
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2022,4.252.295
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2020,4.243.555
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2018,4.235.947
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2016,4.290.577
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2014,4.271.966
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2013,4.323.475
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2012,4.485.264
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2011,4.513.818
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2010,4.580.645
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2009,4.709.261
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2008,4.940.976
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2007,4.969.041
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2006,4.697.857
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2005,4.873.202
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2004,4.973.463
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2003,4.947.008
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2002,4.783.127
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2001,4.803.471
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2000,4.782.096
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2022,3.151.196
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2020,3.177.815
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2018,3.188.055
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2016,3.199.910
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2014,3.214.034
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2013,3.210.843
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2012,3.338.028
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2011,3.381.318
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2010,3.393.271
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2009,3.500.578
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2008,3.731.399
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2007,3.778.036
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2006,3.913.059
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2005,4.002.180
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2004,4.042.399
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2003,4.019.615
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2002,3.855.697
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2001,3.870.650
00,Total Nacional,Volumen total de agua registrada y distribuida por tipo de usuario,2000,3.781.680
00,Total Nacional,Volumen de agua no registrada,2022,1.101.099
00,Total Nacional,Volumen de agua no registrada,2020,1.065.740
00,Total Nacional,Volumen de agua no registrada,2018,1.047.892
00,Total Nacional,Volumen de agua no registrada,2016,1.090.647
00,Total Nacional,Volumen de agua no registrada,2014,1.057.932
00,Total Nacional,Volumen de agua no registrada,2013,1.112.632
00,Total Nacional,Volumen de agua no registrada,2012,1.147.236
00,Total Nacional,Volumen de agua no registrada,2011,1.132.500
00,Total Nacional,Volumen de agua no registrada,2010,1.187.374
00,Total Nacional,Volumen de agua no registrada,2009,1.208.683
00,Total Nacional,Volumen de agua no registrada,2008,1.209.577
00,Total Nacional,Volumen de agua no registrada,2007,1.191.005
00,Total Nacional,Volumen de agua no registrada,2006,..
00,Total Nacional,Volumen de agua no registrada,2005,..
00,Total Nacional,Volumen de agua no registrada,2004,..
00,Total Nacional,Volumen de agua no registrada,2003,..
00,Total Nacional,Volumen de agua no registrada,2002,..
00,Total Nacional,Volumen de agua no registrada,2001,..
00,Total Nacional,Volumen de agua no registrada,2000,..
00,Total Nacional,Pérdidas reales,2022,695.185
00,Total Nacional,Pérdidas reales,2020,651.826
00,Total Nacional,Pérdidas reales,2018,652.841
00,Total Nacional,Pérdidas reales,2016,701.087
00,Total Nacional,Pérdidas reales,2014,651.061
00,Total Nacional,Pérdidas reales,2013,678.064
00,Total Nacional,Pérdidas reales,2012,710.942
00,Total Nacional,Pérdidas reales,2011,776.896
00,Total Nacional,Pérdidas reales,2010,802.502
00,Total Nacional,Pérdidas reales,2009,791.029
00,Total Nacional,Pérdidas reales,2008,820.398
00,Total Nacional,Pérdidas reales,2007,790.169
00,Total Nacional,Pérdidas reales,2006,784.798
00,Total Nacional,Pérdidas reales,2005,871.022
00,Total Nacional,Pérdidas reales,2004,931.064
00,Total Nacional,Pérdidas reales,2003,927.393
00,Total Nacional,Pérdidas reales,2002,927.430
00,Total Nacional,Pérdidas reales,2001,932.821
00,Total Nacional,Pérdidas reales,2000,1.000.416
00,Total Nacional,Pérdidas aparentes,2022,405.914
00,Total Nacional,Pérdidas aparentes,2020,413.914
00,Total Nacional,Pérdidas aparentes,2018,395.051
00,Total Nacional,Pérdidas aparentes,2016,389.560
00,Total Nacional,Pérdidas aparentes,2014,406.871
00,Total Nacional,Pérdidas aparentes,2013,434.568
00,Total Nacional,Pérdidas aparentes,2012,436.294
00,Total Nacional,Pérdidas aparentes,2011,355.604
00,Total Nacional,Pérdidas aparentes,2010,384.872
00,Total Nacional,Pérdidas aparentes,2009,417.654
00,Total Nacional,Pérdidas aparentes,2008,389.179
00,Total Nacional,Pérdidas aparentes,2007,400.836
00,Total Nacional,Pérdidas aparentes,2006,..
00,Total Nacional,Pérdidas aparentes,2005,..
00,Total Nacional,Pérdidas aparentes,2004,..
00,Total Nacional,Pérdidas aparentes,2003,..
00,Total Nacional,Pérdidas aparentes,2002,..
00,Total Nacional,Pérdidas aparentes,2001,..
00,Total Nacional,Pérdidas aparentes,2000,..
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2022,807.913
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2020,792.785
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2018,747.296
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2016,759.283
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2014,774.668
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2013,758.263
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2012,792.450
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2011,793.125
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2010,802.301
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2009,867.854
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2008,861.264
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2007,879.369
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2006,912.082
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2005,1.021.494
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2004,979.756
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2003,935.912
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2002,878.851
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2001,858.157
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2000,820.608
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2022,600.727
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2020,571.979
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2018,544.382
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2016,540.794
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2014,557.113
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2013,547.493
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2012,576.176
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2011,577.958
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2010,586.083
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2009,634.697
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2008,664.876
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2007,674.428
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2006,765.376
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2005,839.417
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2004,784.226
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2003,737.567
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2002,702.959
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2001,694.716
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2000,667.280
01,Andalucía,Volumen de agua no registrada,2022,207.185
01,Andalucía,Volumen de agua no registrada,2020,220.806
01,Andalucía,Volumen de agua no registrada,2018,202.914
01,Andalucía,Volumen de agua no registrada,2016,218.489
01,Andalucía,Volumen de agua no registrada,2014,217.555
01,Andalucía,Volumen de agua no registrada,2013,210.770
01,Andalucía,Volumen de agua no registrada,2012,216.274
01,Andalucía,Volumen de agua no registrada,2011,215.167
01,Andalucía,Volumen de agua no registrada,2010,216.218
01,Andalucía,Volumen de agua no registrada,2009,233.157
01,Andalucía,Volumen de agua no registrada,2008,196.388
01,Andalucía,Volumen de agua no registrada,2007,204.941
01,Andalucía,Volumen de agua no registrada,2006,..
01,Andalucía,Volumen de agua no registrada,2005,..
01,Andalucía,Volumen de agua no registrada,2004,..
01,Andalucía,Volumen de agua no registrada,2003,..
01,Andalucía,Volumen de agua no registrada,2002,..
01,Andalucía,Volumen de agua no registrada,2001,..
01,Andalucía,Volumen de agua no registrada,2000,..
01,Andalucía,Pérdidas reales,2022,136.981
01,Andalucía,Pérdidas reales,2020,129.604
01,Andalucía,Pérdidas reales,2018,123.777
01,Andalucía,Pérdidas reales,2016,157.749
01,Andalucía,Pérdidas reales,2014,151.636
